City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Knysna,ZA,46.4,light rain,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
465,Basoko,CD,69.84,scattered clouds,1.24,23.62,Flat Hotel La Benediction
466,Nantucket,US,64.99,clear sky,41.28,-70.1,Jared Coffin House
467,Lebowakgomo,ZA,55.4,broken clouds,-24.2,29.5,Chuene Resort
468,Talara,PE,65.03,clear sky,-4.58,-81.27,Hostal Oro Negro
469,Goma,CD,62.94,light rain,-1.68,29.22,"Goma, CENTRE D'ACCUEIL CARITAS"
474,Correntina,BR,72.41,broken clouds,-13.34,-44.64,Hotel Pousada dos Sonhos
476,Azangaro,PE,46.89,light rain,-14.92,-70.22,Hotel Miraflores Azangaro
477,Tukrah,LY,66.63,clear sky,32.53,20.58,استراحة لاقروتا
478,Snezhnogorsk,RU,46.4,broken clouds,69.19,33.25,Severnoye Siyaniye
479,Butembo,CD,55.87,broken clouds,0.15,29.28,Hotel Butembo
480,Puerto Ayora,EC,69.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
483,Ceres,US,71.6,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
485,Kananga,CD,65.43,scattered clouds,-5.9,22.42,Guest House Wood Land
486,Jadu,LY,63.79,scattered clouds,31.95,12.03,سيفاو عبازة
488,Huarmey,PE,63.55,clear sky,-10.07,-78.15,Hotel Miramar
489,Puerto Madryn,AR,48.81,few clouds,-42.77,-65.04,Hotel Tolosa
