city_id,city,country,date,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,weather_description
259,Itarema,BR,2020-10-10 18:41:33,-2.92,-39.92,83.08,64,0,15.23,clear sky
260,Verkhnyaya Inta,RU,2020-10-10 18:41:33,65.98,60.31,43.79,96,91,10.11,overcast clouds
261,Lydenburg,ZA,2020-10-10 18:41:33,-25.1,30.46,64.99,85,19,5.01,light rain
262,Bay Roberts,CA,2020-10-10 18:41:33,47.6,-53.26,53.01,63,82,15.88,broken clouds
263,Palanka,RS,2020-10-10 18:41:33,45.25,19.39,59.0,72,79,2.24,broken clouds
264,Sai Buri,TH,2020-10-10 18:41:34,6.7,101.62,78.6,79,100,6.8,moderate rain
265,Damaturu,NG,2020-10-10 18:41:34,11.75,11.96,90.68,30,3,5.23,clear sky
266,Alta Floresta,BR,2020-10-10 18:41:34,-9.88,-56.09,98.13,30,13,5.77,few clouds
267,Tual,ID,2020-10-10 18:41:35,-5.67,132.75,80.42,77,64,17.92,broken clouds
268,Carnarvon,AU,2020-10-10 18:41:35,-24.87,113.63,66.2,88,0,16.11,clear sky
