City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
391,Belo Horizonte,BR,-19.92,-43.94,75.2,69,96,14.99,overcast clouds
392,Aksarka,RU,66.56,67.8,38.52,97,99,8.41,overcast clouds
393,Mana,GF,5.66,-53.78,80.33,81,11,10.11,few clouds
394,Karaton,ID,-6.34,106.1,86.0,74,20,5.82,haze
395,Bathsheba,BB,13.22,-59.52,77.0,88,75,17.22,broken clouds
396,Kibakwe,TZ,-6.72,36.37,63.37,83,15,3.51,few clouds
397,Tabriz,IR,38.08,46.29,42.8,70,1,4.7,clear sky
398,Halifax,CA,44.65,-63.57,59.0,88,88,8.99,overcast clouds
399,Leshukonskoye,RU,64.9,45.76,47.35,85,100,9.48,overcast clouds
400,Zafarwal,PK,32.35,74.9,69.8,88,0,4.7,mist
401,Abeche,TD,13.83,20.83,80.92,30,88,2.35,overcast clouds
402,Capreol,CA,46.71,-80.92,39.99,83,20,13.87,few clouds
403,Oeiras,BR,-7.03,-42.13,81.16,49,0,1.95,clear sky
404,Skjervoy,NO,70.03,20.97,47.25,81,100,15.82,light rain
405,Atar,MR,20.52,-13.05,86.56,15,0,6.62,clear sky
406,Panguipulli,CL,-39.63,-72.33,46.4,100,3,2.24,clear sky
407,Manoel Urbano,BR,-8.84,-69.26,79.92,53,19,2.8,few clouds
408,Nouadhibou,MR,20.93,-17.03,66.2,93,0,11.41,clear sky
409,Ampanihy,MG,-24.7,44.75,64.96,70,0,1.01,clear sky
410,Navirai,BR,-23.07,-54.19,68.9,40,0,3.85,clear sky
411,Barcelos,PT,41.54,-8.62,60.01,82,0,6.93,clear sky
412,Larsnes,NO,62.2,5.58,50.0,92,94,5.01,overcast clouds
413,Pangoa,PE,-12.12,-73.0,76.28,62,100,2.62,overcast clouds
414,Ilo,PE,-17.64,-71.34,59.36,80,54,3.67,broken clouds
415,Huarmey,PE,-10.07,-78.15,64.09,79,0,7.0,clear sky
416,Teguise,ES,29.06,-13.56,71.6,78,20,10.29,few clouds
417,Saint Anthony,US,45.02,-93.22,57.2,54,1,4.7,clear sky
418,Isla Mujeres,MX,21.23,-86.73,80.6,83,75,9.46,broken clouds
419,Angoche,MZ,-16.23,39.91,72.45,87,0,6.33,clear sky
420,San Ramon,US,37.78,-121.98,66.2,77,75,13.87,broken clouds
421,Atasu,KZ,48.68,71.64,39.54,69,100,8.7,overcast clouds
422,Muzhi,RU,65.37,64.67,40.59,87,12,7.58,few clouds
423,Zhanaozen,KZ,43.3,52.8,41.76,59,0,16.2,clear sky
424,El Dorado,US,38.77,-120.52,62.6,67,90,4.7,overcast clouds
425,San Joaquin,US,37.93,-121.3,71.6,64,1,9.17,clear sky
426,Fandriana,MG,-20.23,47.38,62.44,84,19,3.02,few clouds
427,Gambo,CF,4.65,22.26,69.55,97,83,1.5,broken clouds
428,Pyshma,RU,56.95,63.25,46.47,85,100,7.92,overcast clouds
429,Peruibe,BR,-24.32,-47.0,63.5,82,16,3.89,few clouds
430,Urupes,BR,-21.2,-49.29,70.48,34,0,7.7,clear sky
431,Lyubytino,RU,58.81,33.39,48.83,92,100,4.16,overcast clouds
432,Mount Pleasant,US,32.79,-79.86,77.0,100,90,8.05,mist
433,Hornepayne,CA,49.21,-84.77,28.71,97,43,3.62,scattered clouds
434,Arica,CL,-18.48,-70.3,63.0,79,100,3.0,overcast clouds
435,Senno,RU,59.53,33.92,46.0,93,100,3.53,overcast clouds
436,Anuradhapura,LK,8.36,80.42,81.16,73,54,16.42,broken clouds
437,Sjovegan,NO,68.87,17.85,44.6,93,96,16.11,overcast clouds
438,The Valley,AI,18.22,-63.06,82.0,88,20,4.7,few clouds
439,Awbari,LY,26.59,12.78,75.97,34,53,9.28,broken clouds
440,Lichinga,MZ,-13.31,35.24,69.8,68,75,6.93,smoke
